Address    Disassembly                         Comment                                                        
0044A62D   push ecx                            Dialog window is created here
0044A7BC   mov dword ptr ds:[edi+58F470],eax   eax = id of button in window?
00480F70   mov eax,fallout2.50AF14             50AF14:"mapz\\*.map"
00482A8A   je fallout2.482ACB                  loading save or not? jump if it's a new game
00482AE1   call <fallout2.db_fopen_>           high resolution mod hooks map_loading here
004C6671   call <fallout2.xbuild_filelist_>    (pattern, ?)
004C6676   test eax,eax                        was it successful?
004C6681   test ebx,ebx                        is there more than 0 files found? if there is zero, jump to end
004C682A   mov eax,dword ptr ds:[673044]       base of filelists
004DEEFC   call <fallout2.dfile_fopen_>        eax = ptr to dbfile
004DEF01   test eax,eax                        is it in the dat file?
004DEF48   mov ecx,dword ptr ds:[ecx+C]        fetch next dat file
004DFCA3   mov ebp,dword ptr ds:[6B24D0]       /data/ path
004DFCB5   je fallout2.4DFD3D                  check filesystem first, maybe?
004DFCC4   mov eax,dword ptr ss:[ebp+4]        eax = name of dat to look for
004DFCCC   test eax,eax                        eax = 1 means found
